,gene_ids
SUN2,ENSG00000100242.15
CBX6,ENSG00000183741.12
APOBEC3A,ENSG00000128383.13
APOBEC3G,ENSG00000239713.9
CBX7,ENSG00000100307.13
SYNGR1,ENSG00000100321.15
GRAP2,ENSG00000100351.17
TNRC6B,ENSG00000100354.21
EP300,ENSG00000100393.14
TEF,ENSG00000167074.15
TOB2,ENSG00000183864.5
C22orf46,ENSG00000184208.12
SREBF2-AS1,ENSG00000184068.2
NDUFA6-DT,ENSG00000237037.9
TCF20,ENSG00000100207.18
NFAM1,ENSG00000235568.7
Z93241.1,ENSG00000270022.3
PACSIN2,ENSG00000100266.19
TSPO,ENSG00000100300.18
PARVB,ENSG00000188677.14
AL031595.1,ENSG00000279933.1
RTL6,ENSG00000188636.4
PRR5,ENSG00000186654.21
KIAA0930,ENSG00000100364.18
Z95331.1,ENSG00000280383.1
LINC00899,ENSG00000231711.2
MIRLET7BHG,ENSG00000197182.14
PPARA,ENSG00000186951.16
TTC38,ENSG00000075234.17
GTSE1,ENSG00000075218.19
TRMU,ENSG00000100416.15
AL118516.1,ENSG00000260708.1
Z97192.3,ENSG00000235111.1
BRD1,ENSG00000100425.18
ZBED4,ENSG00000100426.7
PIM3,ENSG00000198355.5
MLC1,ENSG00000100427.16
AL022328.4,ENSG00000273253.2
SELENOO,ENSG00000073169.14
TUBGCP6,ENSG00000128159.12
PLXNB2,ENSG00000196576.15
SCO2,ENSG00000284194.3
TYMP,ENSG00000025708.14
ODF3B,ENSG00000177989.13
U62317.4,ENSG00000273272.2
U62317.1,ENSG00000272666.1
RPL23AP82,ENSG00000184319.16
CSF2RA,ENSG00000198223.16
IL3RA,ENSG00000185291.12
ASMTL-AS1,ENSG00000236017.8
P2RY8,ENSG00000182162.11
ARSD,ENSG00000006756.16
TBL1X,ENSG00000101849.17
WWC3,ENSG00000047644.19
ARHGAP6,ENSG00000047648.23
TLR8,ENSG00000101916.12
GPX1P1,ENSG00000197582.5
EGFL6,ENSG00000198759.12
TCEANC,ENSG00000176896.8
TRAPPC2,ENSG00000196459.14
OFD1,ENSG00000046651.15
MOSPD2,ENSG00000130150.12
AP1S2,ENSG00000182287.15
REPS2,ENSG00000169891.18
CDKL5,ENSG00000008086.13
PHKA2,ENSG00000044446.12
BCLAF3,ENSG00000173681.16
SAT1,ENSG00000130066.16
KLHL15,ENSG00000174010.9
CXorf21,ENSG00000120280.6
GK,ENSG00000198814.12
TAB3,ENSG00000157625.15
DMD,ENSG00000198947.15
LANCL3,ENSG00000147036.12
XK,ENSG00000047597.7
CYBB,ENSG00000165168.8
LINC01281,ENSG00000235304.2
CASK,ENSG00000147044.21
MAOA,ENSG00000189221.9
MIR222HG,ENSG00000270069.1
ZNF674-AS1,ENSG00000230844.3
RP2,ENSG00000102218.6
USP11,ENSG00000102226.10
ZNF41,ENSG00000147124.12
TIMP1,ENSG00000102265.12
CFP,ENSG00000126759.13
GATA1,ENSG00000102145.15
PCSK1N,ENSG00000102109.9
PIM2,ENSG00000102096.9
MAGIX,ENSG00000269313.5
SYP,ENSG00000102003.10
FOXP3,ENSG00000049768.16
USP27X,ENSG00000273820.2
CLCN5,ENSG00000171365.17
TSPYL2,ENSG00000184205.14
KANTR,ENSG00000232593.7
KDM5C,ENSG00000126012.12
IQSEC2,ENSG00000124313.16
PHF8,ENSG00000172943.20
GNL3L,ENSG00000130119.17
RRAGB,ENSG00000083750.12
AL050309.1,ENSG00000227486.2
SPIN2B,ENSG00000186787.8
AL022157.1,ENSG00000226310.1
FAAH2,ENSG00000165591.6
ZXDB,ENSG00000198455.4
LINC01278,ENSG00000235437.8
ARHGEF9,ENSG00000131089.17
MIR223HG,ENSG00000274536.7
VSIG4,ENSG00000155659.15
STARD8,ENSG00000130052.13
EFNB1,ENSG00000090776.6
EDA,ENSG00000158813.18
FOXO4,ENSG00000184481.17
IL2RG,ENSG00000147168.13
MED12,ENSG00000184634.16
TAF1,ENSG00000147133.15
INGX,ENSG00000243468.5
OGT,ENSG00000147162.14
GCNA,ENSG00000147174.11
CXCR3,ENSG00000186810.8
NHSL2,ENSG00000204131.9
HDAC8,ENSG00000147099.21
NAP1L2,ENSG00000186462.9
CHIC1,ENSG00000204116.11
FTX,ENSG00000230590.11
Z83843.1,ENSG00000271533.1
RLIM,ENSG00000131263.13
ATP7A,ENSG00000165240.20
CYSLTR1,ENSG00000173198.6
GPR174,ENSG00000147138.2
ITM2A,ENSG00000078596.11
BRWD3,ENSG00000165288.11
DIAPH2,ENSG00000147202.18
TRMT2B,ENSG00000188917.15
BTK,ENSG00000010671.16
GLA,ENSG00000102393.12
ARMCX3,ENSG00000102401.20
ZMAT1,ENSG00000166432.15
ARMCX5,ENSG00000125962.14
BEX4,ENSG00000102409.10
BEX2,ENSG00000133134.11
BEX3,ENSG00000166681.14
TCEAL4,ENSG00000133142.17
TCEAL3,ENSG00000196507.11
ZCCHC18,ENSG00000166707.11
FAM199X,ENSG00000123575.9
RADX,ENSG00000147231.14
TSC22D3,ENSG00000157514.16
TMEM164,ENSG00000157600.12
AMMECR1,ENSG00000101935.10
WDR44,ENSG00000131725.14
IL13RA1,ENSG00000131724.11
LONRF3,ENSG00000175556.17
PGRMC1,ENSG00000101856.10
NKAPP1,ENSG00000233382.7
ZBTB33,ENSG00000177485.7
XIAP,ENSG00000101966.12
TENM1,ENSG00000009694.13
BCORL1,ENSG00000085185.15
ELF4,ENSG00000102034.17
RAP2C-AS1,ENSG00000232160.7
ZNF75D,ENSG00000186376.15
ZNF449,ENSG00000173275.13
INTS6L,ENSG00000165359.15
FHL1,ENSG00000022267.19
LINC00892,ENSG00000233093.6
CD40LG,ENSG00000102245.8
SLITRK4,ENSG00000179542.16
LINC00893,ENSG00000241769.7
TMEM185A,ENSG00000269556.8
LINC00894,ENSG00000235703.6
ZNF185,ENSG00000147394.18
PNMA5,ENSG00000198883.12
AF274858.1,ENSG00000260081.2
ABCD1,ENSG00000101986.12
PDZD4,ENSG00000067840.12
RENBP,ENSG00000102032.13
TKTL1,ENSG00000007350.17
FLNA,ENSG00000196924.18
AC245140.2,ENSG00000280195.1
AC244090.1,ENSG00000197180.2
PLXNA3,ENSG00000130827.6
UBL4A,ENSG00000102178.13
SLC10A3,ENSG00000126903.16
GAB3,ENSG00000160219.12
MPP1,ENSG00000130830.15
WASH6P,ENSG00000182484.15
ZFY,ENSG00000067646.12
LINC00278,ENSG00000231535.7
PRKY,ENSG00000099725.14
USP9Y,ENSG00000114374.13
UTY,ENSG00000183878.15
NLGN4Y,ENSG00000165246.14
TTTY14,ENSG00000176728.9
TXLNGY,ENSG00000131002.12
KDM5D,ENSG00000012817.15
MT-ND3,ENSG00000198840.2
MT-ND5,ENSG00000198786.2
MT-ND6,ENSG00000198695.2
